date,twilight_window,n_candidates,n_planned,unique_targets_observed,repeat_fraction,sum_time_s,dp_time_s,backfill_time_s,window_cap_s,swap_count,internal_filter_changes,filter_change_s_total,inter_exposure_guard_s,inter_exposure_guard_count,mean_slew_s,median_airmass,loaded_filters,filters_used_csv,window_start_utc,window_end_utc,window_duration_s,window_mid_utc,sun_alt_mid_deg,policy_filters_mid_csv,window_utilization,cap_utilization,cap_source,median_sky_mag_arcsec2,median_alt_deg,cad_median_abs_err_by_filter_csv,cad_within_pct_by_filter_csv,cad_median_abs_err_all_d,cad_within_pct_all,quota_assigned,n_candidates_pre_cap,n_candidates_post_cap
2023-01-19,morning,70,40,40,0.0,898.6,761.3,137.4,900,1,0,120.0,311.1,38,6.7807383147420195,1.1829883292729844,"g,r,i,z","g,z",2023-01-20T09:02:00+00:00,2023-01-20T09:17:00+00:00,900,2023-01-20T09:09:30+00:00,-10.56,"r,i,g,z",0.9985,0.9985,window_duration,16.836511184523857,57.650000000000006,"g:7.01,z:0.0","g:0.0,z:87.5",0.004,84.8,499,70,70
2023-01-20,evening,84,40,40,0.0,898.3,765.5,132.7,900,1,0,120.0,311.0,38,6.668303940090473,1.2038647654765082,"g,r,i,z","g,i",2023-01-21T00:30:00+00:00,2023-01-21T00:45:00+00:00,900,2023-01-21T00:37:30+00:00,-10.48,"r,i,g,z",0.9981,0.9981,window_duration,17.143444429487,56.11,"g:10.0,i:0.0","g:0.0,i:92.3",0.002,90.0,500,84,84
2023-01-20,morning,71,45,45,0.0,881.3,881.3,0.0,900,0,0,0.0,376.3,44,6.3040761316317555,1.1756628751150964,"g,r,i,z",g,2023-01-21T09:03:00+00:00,2023-01-21T09:18:00+00:00,900,2023-01-21T09:10:30+00:00,-10.56,"r,i,g,z",0.9792,0.9792,window_duration,18.57739069022643,58.21,g:0.0,g:85.3,0.004,85.3,499,71,71
2023-01-21,evening,84,40,40,0.0,899.7,767.0,132.7,900,1,0,120.0,309.3,38,6.712121149463651,1.2065868022675086,"g,r,i,z","g,z",2023-01-22T00:30:00+00:00,2023-01-22T00:45:00+00:00,900,2023-01-22T00:37:30+00:00,-10.56,"r,i,g,z",0.9997,0.9997,window_duration,16.067772312186754,55.915000000000006,"g:3.0,z:0.0","g:0.0,z:100.0",0.001,97.4,500,84,84
2023-01-21,morning,70,40,40,0.0,899.3,762.4,136.9,900,1,0,120.0,310.3,38,6.791512284373025,1.1813854889919595,"g,r,i,z","g,r",2023-01-22T09:04:00+00:00,2023-01-22T09:19:00+00:00,900,2023-01-22T09:11:30+00:00,-10.57,"r,i,g,z",0.9992,0.9992,window_duration,19.041923294904592,57.78,"g:2.0,r:0.0","g:100.0,r:100.0",0.004,100.0,499,70,70
2023-01-22,evening,82,45,45,0.0,884.6,884.6,0.0,900,0,0,0.0,359.6,43,6.733503896787678,1.201997289985855,"g,r,i,z",g,2023-01-23T00:29:00+00:00,2023-01-23T00:44:00+00:00,900,2023-01-23T00:36:30+00:00,-10.46,"r,i,g,z",0.9829,0.9829,window_duration,18.194952230537485,56.24,g:0.0,g:97.7,0.001,97.7,500,82,82
2023-01-22,morning,69,40,40,0.0,898.5,764.0,134.5,900,1,0,120.0,312.3,38,6.679158147019189,1.2285008594148472,"g,r,i,z","g,i",2023-01-23T09:05:00+00:00,2023-01-23T09:20:00+00:00,900,2023-01-23T09:12:30+00:00,-10.57,"r,i,g,z",0.9984,0.9984,window_duration,17.819567447239574,54.44,"g:10.02,i:0.0","g:0.0,i:100.0",0.004,96.8,499,69,69
2023-01-23,evening,82,40,40,0.0,896.7,764.6,132.2,900,1,0,120.0,296.0,37,7.058865840834204,1.2149985401034025,"g,r,i,z","g,r",2023-01-24T00:29:00+00:00,2023-01-24T00:44:00+00:00,900,2023-01-24T00:36:30+00:00,-10.56,"r,i,g,z",0.9964,0.9964,window_duration,18.57018488005386,55.33,"g:3.0,r:0.0","g:0.0,r:97.4",0.002,94.9,500,82,82
2023-01-23,morning,66,40,40,0.0,898.6,765.3,133.3,900,1,0,120.0,298.6,38,6.993757349397354,1.256062959245908,"g,r,i,z","g,z",2023-01-24T09:06:00+00:00,2023-01-24T09:21:00+00:00,900,2023-01-24T09:13:30+00:00,-10.58,"r,i,g,z",0.9984,0.9984,window_duration,16.846962836412416,52.7,"g:11.01,z:0.0","g:0.0,z:93.5",0.004,90.6,499,66,66
2023-01-24,evening,76,40,40,0.0,899.6,766.4,133.2,900,1,0,120.0,298.3,37,7.018893010603139,1.1797601354180283,"g,r,i,z","g,i",2023-01-25T00:28:00+00:00,2023-01-25T00:43:00+00:00,900,2023-01-25T00:35:30+00:00,-10.47,"r,i,g,z",0.9995,0.9995,window_duration,17.16643506419639,57.9,i:0.0,i:89.2,0.002,89.2,500,76,76
